"proteinType","proteinSearched","todaysDate"
"COL6A3","collagen","Wed Sep 09 08:29:35 2020"
"COL6A1","collagen","Wed Sep 09 08:29:35 2020"
"COL6A2","collagen","Wed Sep 09 08:29:35 2020"
"COL1A1","collagen","Wed Sep 09 08:29:35 2020"
"COL2A1","collagen","Wed Sep 09 08:29:35 2020"
"COL1A2","collagen","Wed Sep 09 08:29:35 2020"
"COL3A1","collagen","Wed Sep 09 08:29:35 2020"
"COL5A1","collagen","Wed Sep 09 08:29:35 2020"
"COL4A3","collagen","Wed Sep 09 08:29:35 2020"
"COL5A2","collagen","Wed Sep 09 08:29:35 2020"
"COL7A1","collagen","Wed Sep 09 08:29:35 2020"
"COL4A4","collagen","Wed Sep 09 08:29:35 2020"
"COL9A1","collagen","Wed Sep 09 08:29:35 2020"
"COL9A3","collagen","Wed Sep 09 08:29:35 2020"
"COL4A1","collagen","Wed Sep 09 08:29:35 2020"
"COL9A2","collagen","Wed Sep 09 08:29:35 2020"
"COL4A5","collagen","Wed Sep 09 08:29:35 2020"
"COL12A1","collagen","Wed Sep 09 08:29:35 2020"
"COL11A2","collagen","Wed Sep 09 08:29:35 2020"
"COL11A1","collagen","Wed Sep 09 08:29:35 2020"
"CD36","collagen","Wed Sep 09 08:29:35 2020"
"COL8A2","collagen","Wed Sep 09 08:29:35 2020"
"COL10A1","collagen","Wed Sep 09 08:29:35 2020"
"MMP1","collagen","Wed Sep 09 08:29:35 2020"
"COL4A2","collagen","Wed Sep 09 08:29:35 2020"
