"proteinType","proteinSearched","todaysDate"
"FN1","ecm","Wed Sep 09 08:29:33 2020"
"PDPN","ecm","Wed Sep 09 08:29:33 2020"
"TGFB1","ecm","Wed Sep 09 08:29:33 2020"
"VTN","ecm","Wed Sep 09 08:29:33 2020"
"FBLN1","ecm","Wed Sep 09 08:29:33 2020"
"TNR","ecm","Wed Sep 09 08:29:33 2020"
"THBS4","ecm","Wed Sep 09 08:29:33 2020"
"CD36","ecm","Wed Sep 09 08:29:33 2020"
"FAP","ecm","Wed Sep 09 08:29:33 2020"
"DAG1","ecm","Wed Sep 09 08:29:33 2020"
"MMP2","ecm","Wed Sep 09 08:29:33 2020"
"TNC","ecm","Wed Sep 09 08:29:33 2020"
"COMP","ecm","Wed Sep 09 08:29:33 2020"
"ITGB1","ecm","Wed Sep 09 08:29:33 2020"
"ITGB3","ecm","Wed Sep 09 08:29:33 2020"
"HPSE","ecm","Wed Sep 09 08:29:33 2020"
"MMP1","ecm","Wed Sep 09 08:29:33 2020"
"ITGA2","ecm","Wed Sep 09 08:29:33 2020"
"ITGAV","ecm","Wed Sep 09 08:29:33 2020"
"MMP9","ecm","Wed Sep 09 08:29:33 2020"
"LAMB1","ecm","Wed Sep 09 08:29:33 2020"
"SERPINE1","ecm","Wed Sep 09 08:29:33 2020"
"MMP14","ecm","Wed Sep 09 08:29:33 2020"
"TNXB","ecm","Wed Sep 09 08:29:33 2020"
"ITGB5","ecm","Wed Sep 09 08:29:33 2020"
