"proteinType","proteinSearched","todaysDate"
"HMGA2","hmga2","Wed Sep 09 08:41:33 2020"
"HMGA2-AS1","hmga2","Wed Sep 09 08:41:33 2020"
"HMGA1","hmga2","Wed Sep 09 08:41:33 2020"
"MSRB3","hmga2","Wed Sep 09 08:41:33 2020"
"RPSAP52","hmga2","Wed Sep 09 08:41:33 2020"
"RAD51B","hmga2","Wed Sep 09 08:41:33 2020"
"MIRLET7C","hmga2","Wed Sep 09 08:41:33 2020"
"FH","hmga2","Wed Sep 09 08:41:33 2020"
"LLPH","hmga2","Wed Sep 09 08:41:33 2020"
"ENSG00000256083","hmga2","Wed Sep 09 08:41:33 2020"
"MED12","hmga2","Wed Sep 09 08:41:33 2020"
"MIRLET7A1","hmga2","Wed Sep 09 08:41:33 2020"
"LPP","hmga2","Wed Sep 09 08:41:33 2020"
"NONHSAG011552.2","hmga2","Wed Sep 09 08:41:33 2020"
"MIR34A","hmga2","Wed Sep 09 08:41:33 2020"
"MIR150","hmga2","Wed Sep 09 08:41:33 2020"
"MIR30A","hmga2","Wed Sep 09 08:41:33 2020"
"LOC100507065","hmga2","Wed Sep 09 08:41:33 2020"
"LEMD3","hmga2","Wed Sep 09 08:41:33 2020"
"lnc-HMGA2-1","hmga2","Wed Sep 09 08:41:33 2020"
"NEK2","hmga2","Wed Sep 09 08:41:33 2020"
"LOC105369809","hmga2","Wed Sep 09 08:41:33 2020"
"MIR196B","hmga2","Wed Sep 09 08:41:33 2020"
"E4F1","hmga2","Wed Sep 09 08:41:33 2020"
"MIR23B","hmga2","Wed Sep 09 08:41:33 2020"
