"proteinType","proteinSearched","todaysDate"
"GH1","hormone","Wed Sep 09 08:29:34 2020"
"THRB","hormone","Wed Sep 09 08:29:34 2020"
"GHRHR","hormone","Wed Sep 09 08:29:34 2020"
"GHR","hormone","Wed Sep 09 08:29:34 2020"
"POMC","hormone","Wed Sep 09 08:29:34 2020"
"GNRH1","hormone","Wed Sep 09 08:29:34 2020"
"POU1F1","hormone","Wed Sep 09 08:29:34 2020"
"PROP1","hormone","Wed Sep 09 08:29:34 2020"
"IGF1","hormone","Wed Sep 09 08:29:34 2020"
"GHSR","hormone","Wed Sep 09 08:29:34 2020"
"LHX3","hormone","Wed Sep 09 08:29:34 2020"
"PTH","hormone","Wed Sep 09 08:29:34 2020"
"TRH","hormone","Wed Sep 09 08:29:34 2020"
"LHCGR","hormone","Wed Sep 09 08:29:34 2020"
"PRKAR1A","hormone","Wed Sep 09 08:29:34 2020"
"GNRHR","hormone","Wed Sep 09 08:29:34 2020"
"HESX1","hormone","Wed Sep 09 08:29:34 2020"
"GNAS","hormone","Wed Sep 09 08:29:34 2020"
"THRA","hormone","Wed Sep 09 08:29:34 2020"
"TSHR","hormone","Wed Sep 09 08:29:34 2020"
"INS","hormone","Wed Sep 09 08:29:34 2020"
"PDE4D","hormone","Wed Sep 09 08:29:34 2020"
"ESR1","hormone","Wed Sep 09 08:29:34 2020"
"OTX2","hormone","Wed Sep 09 08:29:34 2020"
"FSHR","hormone","Wed Sep 09 08:29:34 2020"
