"proteinType","proteinSearched","todaysDate"
"MED12","med12","Wed Sep 09 08:41:34 2020"
"CDK8","med12","Wed Sep 09 08:41:34 2020"
"MED13","med12","Wed Sep 09 08:41:34 2020"
"CCNC","med12","Wed Sep 09 08:41:34 2020"
"FGS3","med12","Wed Sep 09 08:41:34 2020"
"FGS5","med12","Wed Sep 09 08:41:34 2020"
"MED23","med12","Wed Sep 09 08:41:34 2020"
"MED13L","med12","Wed Sep 09 08:41:34 2020"
"MED17","med12","Wed Sep 09 08:41:34 2020"
"FH","med12","Wed Sep 09 08:41:34 2020"
"CDK19","med12","Wed Sep 09 08:41:34 2020"
"MED28","med12","Wed Sep 09 08:41:34 2020"
"MIRLET7C","med12","Wed Sep 09 08:41:34 2020"
"ESR1","med12","Wed Sep 09 08:41:34 2020"
"HMGA2","med12","Wed Sep 09 08:41:34 2020"
"DLG3","med12","Wed Sep 09 08:41:34 2020"
"ZNF41","med12","Wed Sep 09 08:41:34 2020"
"UPF3B","med12","Wed Sep 09 08:41:34 2020"
"TAF1","med12","Wed Sep 09 08:41:34 2020"
"PRPS1L1","med12","Wed Sep 09 08:41:34 2020"
"COMT","med12","Wed Sep 09 08:41:34 2020"
"ESR2","med12","Wed Sep 09 08:41:34 2020"
"IL2RG","med12","Wed Sep 09 08:41:34 2020"
"MED12L","med12","Wed Sep 09 08:41:34 2020"
"CASK","med12","Wed Sep 09 08:41:34 2020"
