"proteinType","proteinSearched","todaysDate"
"TP53","transcription","Wed Sep 09 08:29:36 2020"
"CREBBP","transcription","Wed Sep 09 08:29:36 2020"
"SP1","transcription","Wed Sep 09 08:29:36 2020"
"EP300","transcription","Wed Sep 09 08:29:36 2020"
"JUN","transcription","Wed Sep 09 08:29:36 2020"
"STAT3","transcription","Wed Sep 09 08:29:36 2020"
"STAT1","transcription","Wed Sep 09 08:29:36 2020"
"TBP","transcription","Wed Sep 09 08:29:36 2020"
"E2F1","transcription","Wed Sep 09 08:29:36 2020"
"ERCC3","transcription","Wed Sep 09 08:29:36 2020"
"ERCC2","transcription","Wed Sep 09 08:29:36 2020"
"TFAP2A","transcription","Wed Sep 09 08:29:36 2020"
"RUNX1","transcription","Wed Sep 09 08:29:36 2020"
"MYC","transcription","Wed Sep 09 08:29:36 2020"
"AR","transcription","Wed Sep 09 08:29:36 2020"
"RELA","transcription","Wed Sep 09 08:29:36 2020"
"HIF1A","transcription","Wed Sep 09 08:29:36 2020"
"ESR1","transcription","Wed Sep 09 08:29:36 2020"
"HDAC1","transcription","Wed Sep 09 08:29:36 2020"
"RB1","transcription","Wed Sep 09 08:29:36 2020"
"ERCC6","transcription","Wed Sep 09 08:29:36 2020"
"CREB1","transcription","Wed Sep 09 08:29:36 2020"
"BRCA1","transcription","Wed Sep 09 08:29:36 2020"
"GTF2H2","transcription","Wed Sep 09 08:29:36 2020"
"WT1","transcription","Wed Sep 09 08:29:36 2020"
