"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"med12","MED12","ENSG00000184634","The initiation of transcription is controlled in part by a large protein assembly known as the preinitiation complex. A component of this preinitiation complex is a 1.2 MDa protein aggregate called Mediator. This Mediator component binds with a CDK8 subcomplex which contains the protein encoded by this gene, mediator complex subunit 12 (MED12), along with MED13, CDK8 kinase, and cyclin C. The CDK8 subcomplex modulates Mediator-polymerase II interactions and thereby regulates transcription initiation and reinitation rates. The MED12 protein is essential for activating CDK8 kinase. Defects in this gene cause X-linked Opitz-Kaveggia syndrome, also known as FG syndrome, and Lujan-Fryns syndrome. [provided by RefSeq, Aug 2009]","                                            MED12 (Mediator Complex Subunit 12) is a Protein Coding gene.                                            Diseases associated with MED12 include Opitz-Kaveggia Syndrome and Ohdo Syndrome, X-Linked.                                            Among its related pathways are Regulation of Wnt-mediated beta catenin signaling and target gene transcription and Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha).                                            Gene Ontology (GO) annotations related to this gene include chromatin binding.                                            An important paralog of this gene is MED12L.","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. This subunit may specifically regulate transcription of targets of the Wnt signaling pathway and SHH signaling pathway.
                         MED12_HUMAN,Q93074
                         ","Wed Sep 09 08:46:01 2020"
"med12","CDK8","ENSG00000132964","This gene encodes a member of the cyclin-dependent protein kinase (CDK) family. CDK family members are known to be important regulators of cell cycle progression. This kinase and its regulatory subunit, cyclin C, are components of the Mediator transcriptional regulatory complex, involved in both transcriptional activation and repression by phosphorylation of the carboxy-terminal domain of the largest subunit of RNA polymerase II. This kinase regulates transcription by targeting the cyclin-dependent kinase 7 subunits of the general transcription initiation factor IIH, thus providing a link between the Mediator complex and the basal transcription machinery. Multiple pseudogenes of this gene have been identified. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2016]","                                            CDK8 (Cyclin Dependent Kinase 8) is a Protein Coding gene.                                            Diseases associated with CDK8 include Intellectual Developmental Disorder With Hypotonia And Behavioral Abnormalities and Ebstein Anomaly.                                            Among its related pathways are Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is CDK19.","Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex. Phosphorylates CCNH leading to down-regulation of the TFIIH complex and transcriptional repression. Recruited through interaction with MAML1 to hyperphosphorylate the intracellular domain of NOTCH, leading to its degradation.
                         CDK8_HUMAN,P49336
                         ","Wed Sep 09 08:46:03 2020"
"med12","MED13","ENSG00000108510","This gene encodes a component of the mediator complex (also known as TRAP, SMCC, DRIP, or ARC), a transcriptional coactivator complex thought to be required for the expression of almost all genes. The mediator complex is recruited by transcriptional activators or nuclear receptors to induce gene expression, possibly by interacting with RNA polymerase II and promoting the formation of a transcriptional pre-initiation complex. The product of this gene is proposed to form a sub-complex with MED12, cyclin C, and CDK8 that can negatively regulate transactivation by mediator. [provided by RefSeq, Jul 2008]","                                            MED13 (Mediator Complex Subunit 13) is a Protein Coding gene.                                            Diseases associated with MED13 include Intellectual Developmental Disorder 61 and Non-Specific Syndromic Intellectual Disability.                                            Among its related pathways are Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) and Thyroid hormone signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include transcription coregulator activity.                                            An important paralog of this gene is MED13L.","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
                         MED13_HUMAN,Q9UHV7
                         ","Wed Sep 09 08:46:07 2020"
"med12","CCNC","ENSG00000112237","The protein encoded by this gene is a member of the cyclin family of proteins. The encoded protein interacts with cyclin-dependent kinase 8 and induces the phophorylation of the carboxy-terminal domain of the large subunit of RNA polymerase II. The level of mRNAs for this gene peaks in the G1 phase of the cell cycle. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            CCNC (Cyclin C) is a Protein Coding gene.                                            Diseases associated with CCNC include Childhood Acute Lymphocytic Leukemia and Med23.                                            Among its related pathways are Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include protein kinase binding.                                            ","Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin-dependent kinase CDK8 that phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex.
                         CCNC_HUMAN,P24863
                         ","Wed Sep 09 08:46:08 2020"
"med12","FGS3","NA","                                            FGS3 (FG Syndrome 3) is a Genetic Locus.                                            Diseases associated with FGS3 include Fg Syndrome 3 and Opitz-Kaveggia Syndrome.                                                                                                                                    ","                                            FGS3 (FG Syndrome 3) is a Genetic Locus.                                            Diseases associated with FGS3 include Fg Syndrome 3 and Opitz-Kaveggia Syndrome.                                                                                                                                    ","no summary","Wed Sep 09 08:46:09 2020"
"med12","FGS5","NA","                                            FGS5 (FG Syndrome 5) is a Genetic Locus.                                            Diseases associated with FGS5 include Fg Syndrome 5 and Opitz-Kaveggia Syndrome.                                                                                                                                    ","                                            FGS5 (FG Syndrome 5) is a Genetic Locus.                                            Diseases associated with FGS5 include Fg Syndrome 5 and Opitz-Kaveggia Syndrome.                                                                                                                                    ","no summary","Wed Sep 09 08:46:10 2020"
"med12","MED23","ENSG00000112282","The activation of gene transcription is a multistep process that is triggered by factors that recognize transcriptional enhancer sites in DNA. These factors work with co-activators to direct transcriptional initiation by the RNA polymerase II apparatus. The protein encoded by this gene is a subunit of the CRSP (cofactor required for SP1 activation) complex, which, along with TFIID, is required for efficient activation by SP1. This protein is also a component of other multisubunit complexes e.g. thyroid hormone receptor-(TR-) associated proteins which interact with TR and facilitate TR function on DNA templates in conjunction with initiation factors and cofactors. This protein also acts as a metastasis suppressor. Several alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2012]","                                            MED23 (Mediator Complex Subunit 23) is a Protein Coding gene.                                            Diseases associated with MED23 include Mental Retardation, Autosomal Recessive 18 and Autosomal Recessive Non-Syndromic Intellectual Disability.                                            Among its related pathways are Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) and RNA Polymerase II Transcription Initiation And Promoter Clearance.                                            Gene Ontology (GO) annotations related to this gene include transcription coactivator activity.                                            ","Required for transcriptional activation subsequent to the assembly of the pre-initiation complex (By similarity). Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional pre-initiation complex with RNA polymerase II and the general transcription factors. Required for transcriptional activation by adenovirus E1A protein. Required for ELK1-dependent transcriptional activation in response to activated Ras signaling.
                         MED23_HUMAN,Q9ULK4
                         ","Wed Sep 09 08:46:11 2020"
"med12","MED13L","ENSG00000123066","The protein encoded by this gene is a subunit of the Mediator complex, a large complex of proteins that functions as a transcriptional coactivator for most RNA polymerase II-transcribed genes. The encoded protein is involved in early development of the heart and brain. Defects in this gene are a cause of transposition of the great arteries, dextro-looped (DTGA).[provided by RefSeq, Jul 2010]","                                            MED13L (Mediator Complex Subunit 13L) is a Protein Coding gene.                                            Diseases associated with MED13L include Mental Retardation And Distinctive Facial Features With Or Without Cardiac Defects and Transposition Of The Great Arteries, Dextro-Looped 1.                                            Among its related pathways are Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) and Thyroid hormone signaling pathway.                                                                                        An important paralog of this gene is MED13.","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. This subunit may specifically regulate transcription of targets of the Wnt signaling pathway and SHH signaling pathway.
                         MD13L_HUMAN,Q71F56
                         ","Wed Sep 09 08:46:12 2020"
"med12","MED17","ENSG00000042429","The activation of gene transcription is a multistep process that is triggered by factors that recognize transcriptional enhancer sites in DNA. These factors work with co-activators to direct transcriptional initiation by the RNA polymerase II apparatus. The protein encoded by this gene is a subunit of the CRSP (cofactor required for SP1 activation) complex, which, along with TFIID, is required for efficient activation by SP1. This protein is also a component of other multisubunit complexes e.g. thyroid hormone receptor-(TR-) associated proteins which interact with TR and facilitate TR function on DNA templates in conjunction with initiation factors and cofactors. [provided by RefSeq, Jul 2008]","                                            MED17 (Mediator Complex Subunit 17) is a Protein Coding gene.                                            Diseases associated with MED17 include Microcephaly, Postnatal Progressive, With Seizures And Brain Atrophy and Microcephaly.                                            Among its related pathways are Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) and Thyroid hormone signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include transcription coregulator activity.                                            An important paralog of this gene is ENSG00000284057.","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
                         MED17_HUMAN,Q9NVC6
                         ","Wed Sep 09 08:46:13 2020"
"med12","FH","ENSG00000091483","The protein encoded by this gene is an enzymatic component of the tricarboxylic acid (TCA) cycle, or Krebs cycle, and catalyzes the formation of L-malate from fumarate. It exists in both a cytosolic form and an N-terminal extended form, differing only in the translation start site used. The N-terminal extended form is targeted to the mitochondrion, where the removal of the extension generates the same form as in the cytoplasm. It is similar to some thermostable class II fumarases and functions as a homotetramer. Mutations in this gene can cause fumarase deficiency and lead to progressive encephalopathy. [provided by RefSeq, Jul 2008]","                                            FH (Fumarate Hydratase) is a Protein Coding gene.                                            Diseases associated with FH include Fumarase Deficiency and Hereditary Leiomyomatosis And Renal Cell Cancer.                                            Among its related pathways are Citrate cycle (TCA cycle) and ErbB signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include lyase activity and fumarate hydratase activity.                                            An important paralog of this gene is ASL.","Catalyzes the reversible stereospecific interconversion of fumarate to L-malate (PubMed:30761759). Experiments in other species have demonstrated that specific isoforms of this protein act in defined pathways and favor one direction over the other (Probable).
                         FUMH_HUMAN,P07954
                         ","Wed Sep 09 08:46:20 2020"
