"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"ecm","FN1","ENSG00000115414","This gene encodes fibronectin, a glycoprotein present in a soluble dimeric form in plasma, and in a dimeric or multimeric form at the cell surface and in extracellular matrix. The encoded preproprotein is proteolytically processed to generate the mature protein. Fibronectin is involved in cell adhesion and migration processes including embryogenesis, wound healing, blood coagulation, host defense, and metastasis. The gene has three regions subject to alternative splicing, with the potential to produce 20 different transcript variants, at least one of which encodes an isoform that undergoes proteolytic processing. The full-length nature of some variants has not been determined. [provided by RefSeq, Jan 2016]","                                            FN1 (Fibronectin 1) is a Protein Coding gene.                                            Diseases associated with FN1 include Spondylometaphyseal Dysplasia, Corner Fracture Type and Glomerulopathy With Fibronectin Deposits 2.                                            Among its related pathways are Association Between Physico-Chemical Features and Toxicity Associated Pathways and Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and protease binding.                                            An important paralog of this gene is TNR.","Fibronectins bind cell surfaces and various compounds including collagen, fibrin, heparin, DNA, and actin. Fibronectins are involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape. Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process, essential for osteoblast mineralization. Participates in the regulation of type I collagen deposition by osteoblasts.
                         FINC_HUMAN,P02751
                         ","Wed Sep 09 08:36:13 2020"
"ecm","PDPN","ENSG00000162493","This gene encodes a type-I integral membrane glycoprotein with diverse distribution in human tissues. The physiological function of this protein may be related to its mucin-type character. The homologous protein in other species has been described as a differentiation antigen and influenza-virus receptor. The specific function of this protein has not been determined but it has been proposed as a marker of lung injury. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            PDPN (Podoplanin) is a Protein Coding gene.                                            Diseases associated with PDPN include Lymphangioma and Atypical Neurofibroma.                                            Among its related pathways are Response to elevated platelet cytosolic Ca2+ and Angiogenesis (CST).                                            Gene Ontology (GO) annotations related to this gene include amino acid transmembrane transporter activity and folic acid transmembrane transporter activity.                                            ","Mediates effects on cell migration and adhesion through its different partners. During development plays a role in blood and lymphatic vessels separation by binding CLEC1B, triggering CLEC1B activation in platelets and leading to platelet activation and/or aggregation (PubMed:14522983, PubMed:15231832, PubMed:17616532, PubMed:18215137, PubMed:17222411). Interaction with CD9, on the contrary, attenuates platelet aggregation induced by PDPN (PubMed:18541721). Through MSN or EZR interaction promotes epithelial-mesenchymal transition (EMT) leading to ERZ phosphorylation and triggering RHOA activation leading to cell migration increase and invasiveness (PubMed:17046996, PubMed:21376833). Interaction with CD44 promotes directional cell migration in epithelial and tumor cells (PubMed:20962267). In lymph nodes (LNs), controls fibroblastic reticular cells (FRCs) adhesion to the extracellular matrix (ECM) and contraction of the actomyosin by maintaining ERM proteins (EZR; MSN and RDX) and MYL9 activation through association with unknown transmembrane proteins. Engagement of CLEC1B by PDPN promotes FRCs relaxation by blocking lateral membrane interactions leading to reduction of ERM proteins (EZR; MSN and RDX) and MYL9 activation (By similarity). Through binding with LGALS8 may participate in connection of the lymphatic endothelium to the surrounding extracellular matrix (PubMed:19268462). In keratinocytes, induces changes in cell morphology showing an elongated shape, numerous membrane protrusions, major reorganization of the actin cytoskeleton, increased motility and decreased cell adhesion (PubMed:15515019). Controls invadopodia stability and maturation leading to efficient degradation of the extracellular matrix (ECM) in tumor cells through modulation of RHOC activity in order to activate ROCK1/ROCK2 and LIMK1/LIMK2 and inactivation of CFL1 (PubMed:25486435). Required for normal lung cell proliferation and alveolus formation at birth (By similarity). Does not function as a water channel or as a regulator of aquaporin-type water channels (PubMed:9651190). Does not have any effect on folic acid or amino acid transport (By similarity).
                         PDPN_HUMAN,Q86YL7
                         ","Wed Sep 09 08:36:14 2020"
"ecm","TGFB1","ENSG00000105329","This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016]","                                            TGFB1 (Transforming Growth Factor Beta 1) is a Protein Coding gene.                                            Diseases associated with TGFB1 include Camurati-Engelmann Disease and Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy.                                            Among its related pathways are Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway and Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and enzyme binding.                                            An important paralog of this gene is TGFB3.","Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively.
                         TGFB1_HUMAN,P01137
                         ","Wed Sep 09 08:36:15 2020"
"ecm","VTN","ENSG00000109072","The protein encoded by this gene is a member of the pexin family. It is found in serum and tissues and promotes cell adhesion and spreading, inhibits the membrane-damaging effect of the terminal cytolytic complement pathway, and binds to several serpin serine protease inhibitors. It is a secreted protein and exists in either a single chain form or a clipped, two chain form held together by a disulfide bond. [provided by RefSeq, Jul 2008]","                                            VTN (Vitronectin) is a Protein Coding gene.                                            Diseases associated with VTN include Glanzmann Thrombasthenia and Camptodactyly-Arthropathy-Coxa Vara-Pericarditis Syndrome.                                            Among its related pathways are Degradation of the extracellular matrix and amb2 Integrin signaling.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and scavenger receptor activity.                                            An important paralog of this gene is PRG4.","Vitronectin is a cell adhesion and spreading factor found in serum and tissues. Vitronectin interact with glycosaminoglycans and proteoglycans. Is recognized by certain members of the integrin family and serves as a cell-to-substrate adhesion molecule. Inhibitor of the membrane-damaging effect of the terminal cytolytic complement pathway.
                         VTNC_HUMAN,P04004
                         ","Wed Sep 09 08:36:16 2020"
"ecm","FBLN1","ENSG00000077942","Fibulin 1 is a secreted glycoprotein that becomes incorporated into a fibrillar extracellular matrix. Calcium-binding is apparently required to mediate its binding to laminin and nidogen. It mediates platelet adhesion via binding fibrinogen. Four splice variants which differ in the 3' end have been identified. Each variant encodes a different isoform, but no functional distinctions have been identified among the four variants. [provided by RefSeq, Jul 2008]","                                            FBLN1 (Fibulin 1) is a Protein Coding gene.                                            Diseases associated with FBLN1 include Synpolydactyly 2 and Fbln1-Related Developmental Delay-Central Nervous System Anomaly-Syndactyly Syndrome.                                            Among its related pathways are Degradation of the extracellular matrix and Cell adhesion_Cell-matrix glycoconjugates.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and peptidase activator activity.                                            An important paralog of this gene is FBLN2.","Incorporated into fibronectin-containing matrix fibers. May play a role in cell adhesion and migration along protein fibers within the extracellular matrix (ECM). Could be important for certain developmental processes and contribute to the supramolecular organization of ECM architecture, in particular to those of basement membranes. Has been implicated in a role in cellular transformation and tumor invasion, it appears to be a tumor suppressor. May play a role in haemostasis and thrombosis owing to its ability to bind fibrinogen and incorporate into clots. Could play a significant role in modulating the neurotrophic activities of APP, particularly soluble APP.
                         FBLN1_HUMAN,P23142
                         ","Wed Sep 09 08:36:19 2020"
"ecm","TNR","ENSG00000116147","This gene encodes a member of the tenascin family of extracellular matrix glycoproteins. The encoded protein is restricted to the central nervous system. The protein may play a role in neurite outgrowth, neural cell adhesion and modulation of sodium channel function. It is a constituent of perineuronal nets. [provided by RefSeq, Aug 2013]","                                            TNR (Tenascin R) is a Protein Coding gene.                                            Diseases associated with TNR include Familial Osteochondritis Dissecans and Osteochondritis Dissecans.                                            Among its related pathways are Degradation of the extracellular matrix and Focal Adhesion.                                                                                        An important paralog of this gene is TNC.","Neural extracellular matrix (ECM) protein involved in interactions with different cells and matrix components. These interactions can influence cellular behavior by either evoking a stable adhesion and differentiation, or repulsion and inhibition of neurite growth. Binding to cell surface gangliosides inhibits RGD-dependent integrin-mediated cell adhesion and results in an inhibition of PTK2/FAK1 (FAK) phosphorylation and cell detachment. Binding to membrane surface sulfatides results in a oligodendrocyte adhesion and differentiation. Interaction with CNTN1 induces a repulsion of neurons and an inhibition of neurite outgrowth. Interacts with SCN2B may play a crucial role in clustering and regulation of activity of sodium channels at nodes of Ranvier. TNR-linked chondroitin sulfate glycosaminoglycans are involved in the interaction with FN1 and mediate inhibition of cell adhesion and neurite outgrowth. The highly regulated addition of sulfated carbohydrate structure may modulate the adhesive properties of TNR over the course of development and during synapse maintenance (By similarity).
                         TENR_HUMAN,Q92752
                         ","Wed Sep 09 08:36:20 2020"
"ecm","THBS4","ENSG00000113296","The protein encoded by this gene belongs to the thrombospondin protein family. Thrombospondin family members are adhesive glycoproteins that mediate cell-to-cell and cell-to-matrix interactions. This protein forms a pentamer and can bind to heparin and calcium. It is involved in local signaling in the developing and adult nervous system, and it contributes to spinal sensitization and neuropathic pain states. This gene is activated during the stromal response to invasive breast cancer. It may also play a role in inflammatory responses in Alzheimer's disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015]","                                            THBS4 (Thrombospondin 4) is a Protein Coding gene.                                            Diseases associated with THBS4 include Prostate Cancer and Nephroma.                                            Among its related pathways are Signaling by GPCR and Focal Adhesion.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and heparin binding.                                            An important paralog of this gene is THBS3.","Adhesive glycoprotein that mediates cell-to-cell and cell-to-matrix interactions and is involved in various processes including cellular proliferation, migration, adhesion and attachment, inflammatory response to CNS injury, regulation of vascular inflammation and adaptive responses of the heart to pressure overload and in myocardial function and remodeling. Binds to structural extracellular matrix (ECM) proteins and modulates the ECM in response to tissue damage, contributing to cardioprotective and adaptive ECM remodeling. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors and protects myocardium from pressure overload. May contribute to spinal presynaptic hypersensitivity and neuropathic pain states after peripheral nerve injury. May play a role in regulating protective astrogenesis from the subventricular zone (SVZ) niche after injury in a NOTCH1-dependent manner (By similarity).
                         TSP4_HUMAN,P35443
                         ","Wed Sep 09 08:36:20 2020"
"ecm","CD36","ENSG00000135218","The protein encoded by this gene is the fourth major glycoprotein of the platelet surface and serves as a receptor for thrombospondin in platelets and various cell lines. Since thrombospondins are widely distributed proteins involved in a variety of adhesive processes, this protein may have important functions as a cell adhesion molecule. It binds to collagen, thrombospondin, anionic phospholipids and oxidized LDL. It directly mediates cytoadherence of Plasmodium falciparum parasitized erythrocytes and it binds long chain fatty acids and may function in the transport and/or as a regulator of fatty acid transport. Mutations in this gene cause platelet glycoprotein deficiency. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Feb 2014]","                                            CD36 (CD36 Molecule) is a Protein Coding gene.                                            Diseases associated with CD36 include Platelet Glycoprotein Iv Deficiency and Coronary Heart Disease 7.                                            Among its related pathways are Antigen processing-Cross presentation and Activated TLR4 signalling.                                            Gene Ontology (GO) annotations related to this gene include lipid binding and low-density lipoprotein particle binding.                                            An important paralog of this gene is SCARB2.","Multifunctional glycoprotein that acts as receptor for a broad range of ligands. Ligands can be of proteinaceous nature like thrombospondin, fibronectin, collagen or amyloid-beta as well as of lipidic nature such as oxidized low-density lipoprotein (oxLDL), anionic phospholipids, long-chain fatty acids and bacterial diacylated lipopeptides. They are generally multivalent and can therefore engage multiple receptors simultaneously, the resulting formation of CD36 clusters initiates signal transduction and internalization of receptor-ligand complexes. The dependency on coreceptor signaling is strongly ligand specific. Cellular responses to these ligands are involved in angiogenesis, inflammatory response, fatty acid metabolism, taste and dietary fat processing in the intestine (Probable). Binds long-chain fatty acids and facilitates their transport into cells, thus participating in muscle lipid utilization, adipose energy storage, and gut fat absorption (By similarity) (PubMed:18353783, PubMed:21610069). In the small intestine, plays a role in proximal absorption of dietary fatty acid and cholesterol for optimal chylomicron formation, possibly through the activation of MAPK1/3 (ERK1/2) signaling pathway (By similarity) (PubMed:18753675). Involved in oral fat perception and preferences (PubMed:22240721, PubMed:25822988). Detection into the tongue of long-chain fatty acids leads to a rapid and sustained rise in flux and protein content of pancreatobiliary secretions (By similarity). In taste receptor cells, mediates the induction of an increase in intracellular calcium levels by long-chain fatty acids, leading to the activation of the gustatory neurons in the nucleus of the solitary tract (By similarity). Important factor in both ventromedial hypothalamus neuronal sensing of long-chain fatty acid and the regulation of energy and glucose homeostasis (By similarity). Receptor for thombospondins, THBS1 and THBS2, mediating their antiangiogenic effects (By similarity). As a coreceptor for TLR4:TLR6 heterodimer, promotes inflammation in monocytes/macrophages. Upon ligand binding, such as oxLDL or amyloid-beta 42, interacts with the heterodimer TLR4:TLR6, the complex is internalized and triggers inflammatory response, leading to NF-kappa-B-dependent production of CXCL1, CXCL2 and CCL9 cytokines, via MYD88 signaling pathway, and CCL5 cytokine, via TICAM1 signaling pathway, as well as IL1B secretion, through the priming and activation of the NLRP3 inflammasome (By similarity) (PubMed:20037584). Selective and nonredundant sensor of microbial diacylated lipopeptide that signal via TLR2:TLR6 heterodimer, this cluster triggers signaling from the cell surface, leading to the NF-kappa-B-dependent production of TNF, via MYD88 signaling pathway and subsequently is targeted to the Golgi in a lipid-raft dependent pathway (By similarity) (PubMed:16880211).
                         CD36_HUMAN,P16671
                         ","Wed Sep 09 08:36:23 2020"
"ecm","FAP","ENSG00000078098","The protein encoded by this gene is a homodimeric integral membrane gelatinase belonging to the serine protease family. It is selectively expressed in reactive stromal fibroblasts of epithelial cancers, granulation tissue of healing wounds, and malignant cells of bone and soft tissue sarcomas. This protein is thought to be involved in the control of fibroblast growth or epithelial-mesenchymal interactions during development, tissue repair, and epithelial carcinogenesis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2014]","                                            FAP (Fibroblast Activation Protein Alpha) is a Protein Coding gene.                                            Diseases associated with FAP include Breast Ductal Carcinoma and Melanoma.                                                                                        Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and serine-type endopeptidase activity.                                            An important paralog of this gene is DPP4.","Cell surface glycoprotein serine protease that participates in extracellular matrix degradation and involved in many cellular processes including tissue remodeling, fibrosis, wound healing, inflammation and tumor growth. Both plasma membrane and soluble forms exhibit post-proline cleaving endopeptidase activity, with a marked preference for Ala/Ser-Gly-Pro-Ser/Asn/Ala consensus sequences, on substrate such as alpha-2-antiplasmin SERPINF2 and SPRY2 (PubMed:14751930, PubMed:16223769, PubMed:16480718, PubMed:16410248, PubMed:17381073, PubMed:18095711, PubMed:21288888, PubMed:24371721). Degrade also gelatin, heat-denatured type I collagen, but not native collagen type I and IV, vibronectin, tenascin, laminin, fibronectin, fibrin or casein (PubMed:9065413, PubMed:2172980, PubMed:7923219, PubMed:10347120, PubMed:10455171, PubMed:12376466, PubMed:16223769, PubMed:16651416, PubMed:18095711). Also has dipeptidyl peptidase activity, exhibiting the ability to hydrolyze the prolyl bond two residues from the N-terminus of synthetic dipeptide substrates provided that the penultimate residue is proline, with a preference for Ala-Pro, Ile-Pro, Gly-Pro, Arg-Pro and Pro-Pro (PubMed:10347120, PubMed:10593948, PubMed:16175601, PubMed:16223769, PubMed:16651416, PubMed:16410248, PubMed:17381073, PubMed:21314817, PubMed:24371721, PubMed:24717288). Natural neuropeptide hormones for dipeptidyl peptidase are the neuropeptide Y (NPY), peptide YY (PYY), substance P (TAC1) and brain natriuretic peptide 32 (NPPB) (PubMed:21314817). The plasma membrane form, in association with either DPP4, PLAUR or integrins, is involved in the pericellular proteolysis of the extracellular matrix (ECM), and hence promotes cell adhesion, migration and invasion through the ECM. Plays a role in tissue remodeling during development and wound healing. Participates in the cell invasiveness towards the ECM in malignant melanoma cancers. Enhances tumor growth progression by increasing angiogenesis, collagen fiber degradation and apoptosis and by reducing antitumor response of the immune system. Promotes glioma cell invasion through the brain parenchyma by degrading the proteoglycan brevican. Acts as a tumor suppressor in melanocytic cells through regulation of cell proliferation and survival in a serine protease activity-independent manner.
                         SEPR_HUMAN,Q12884
                         ","Wed Sep 09 08:36:26 2020"
"ecm","DAG1","ENSG00000173402","This gene encodes dystroglycan, a central component of dystrophin-glycoprotein complex that links the extracellular matrix and the cytoskeleton in the skeletal muscle. The encoded preproprotein undergoes O- and N-glycosylation, and proteolytic processing to generate alpha and beta subunits. Certain mutations in this gene are known to cause distinct forms of muscular dystrophy. Alternative splicing results in multiple transcript variants, all encoding the same protein. [provided by RefSeq, Nov 2015]","                                            DAG1 (Dystroglycan 1) is a Protein Coding gene.                                            Diseases associated with DAG1 include Muscular Dystrophy-Dystroglycanopathy  , Type C, 9 and Muscular Dystrophy-Dystroglycanopathy  , Type A, 9.                                            Among its related pathways are Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3 and Degradation of the extracellular matrix.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding.                                            ","The dystroglycan complex is involved in a number of processes including laminin and basement membrane assembly, sarcolemmal stability, cell survival, peripheral nerve myelination, nodal structure, cell migration, and epithelial polarization.
                         DAG1_HUMAN,Q14118
                         ","Wed Sep 09 08:36:29 2020"
