"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"hormone","COL6A3","ENSG00000163359","This gene encodes the alpha-3 chain, one of the three alpha chains of type VI collagen, a beaded filament collagen found in most connective tissues. The alpha-3 chain of type VI collagen is much larger than the alpha-1 and -2 chains. This difference in size is largely due to an increase in the number of subdomains, similar to von Willebrand Factor type A domains, that are found in the amino terminal globular domain of all the alpha chains. These domains have been shown to bind extracellular matrix proteins, an interaction that explains the importance of this collagen in organizing matrix components. Mutations in the type VI collagen genes are associated with Bethlem myopathy, a rare autosomal dominant proximal myopathy with early childhood onset. Mutations in this gene are also a cause of Ullrich congenital muscular dystrophy, also referred to as Ullrich scleroatonic muscular dystrophy, an autosomal recessive congenital myopathy that is more severe than Bethlem myopathy. Multiple transcript variants have been identified, but the full-length nature of only some of these variants has been described. [provided by RefSeq, Jun 2009]","                                            COL6A3 (Collagen Type VI Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL6A3 include Bethlem Myopathy 1 and Dystonia 27.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity.                                            An important paralog of this gene is COL6A5.","Collagen VI acts as a cell-binding protein.
                         CO6A3_HUMAN,P12111
                         ","Wed Sep 09 08:37:57 2020"
"hormone","COL6A1","ENSG00000142156","The collagens are a superfamily of proteins that play a role in maintaining the integrity of various tissues. Collagens are extracellular matrix proteins and have a triple-helical domain as their common structural element. Collagen VI is a major structural component of microfibrils. The basic structural unit of collagen VI is a heterotrimer of the alpha1(VI), alpha2(VI), and alpha3(VI) chains. The alpha2(VI) and alpha3(VI) chains are encoded by the COL6A2 and COL6A3 genes, respectively. The protein encoded by this gene is the alpha 1 subunit of type VI collagen (alpha1(VI) chain). Mutations in the genes that code for the collagen VI subunits result in the autosomal dominant disorder, Bethlem myopathy. [provided by RefSeq, Jul 2008]","                                            COL6A1 (Collagen Type VI Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL6A1 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include platelet-derived growth factor binding.                                            An important paralog of this gene is COL5A1.","Collagen VI acts as a cell-binding protein.
                         CO6A1_HUMAN,P12109
                         ","Wed Sep 09 08:37:58 2020"
"hormone","COL6A2","ENSG00000142173","This gene encodes one of the three alpha chains of type VI collagen, a beaded filament collagen found in most connective tissues. The product of this gene contains several domains similar to von Willebrand Factor type A domains. These domains have been shown to bind extracellular matrix proteins, an interaction that explains the importance of this collagen in organizing matrix components. Mutations in this gene are associated with Bethlem myopathy and Ullrich scleroatonic muscular dystrophy. Three transcript variants have been identified for this gene. [provided by RefSeq, Jul 2008]","                                            COL6A2 (Collagen Type VI Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL6A2 include Myosclerosis, Autosomal Recessive and Ullrich Congenital Muscular Dystrophy 1.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                                                                        An important paralog of this gene is COL5A1.","Collagen VI acts as a cell-binding protein.
                         CO6A2_HUMAN,P12110
                         ","Wed Sep 09 08:38:01 2020"
"hormone","COL1A1","ENSG00000108821","This gene encodes the pro-alpha1 chains of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIA, Ehlers-Danlos syndrome Classical type, Caffey Disease and idiopathic osteoporosis. Reciprocal translocations between chromosomes 17 and 22, where this gene and the gene for platelet-derived growth factor beta are located, are associated with a particular type of skin tumor called dermatofibrosarcoma protuberans, resulting from unregulated expression of the growth factor. Two transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A1 (Collagen Type I Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A1 include Caffey Disease and Osteogenesis Imperfecta, Type I.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and platelet-derived growth factor binding.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A1_HUMAN,P02452
                         ","Wed Sep 09 08:38:03 2020"
"hormone","COL2A1","ENSG00000139219","This gene encodes the alpha-1 chain of type II collagen, a fibrillar collagen found in cartilage and the vitreous humor of the eye. Mutations in this gene are associated with achondrogenesis, chondrodysplasia, early onset familial osteoarthritis, SED congenita, Langer-Saldino achondrogenesis, Kniest dysplasia, Stickler syndrome type I, and spondyloepimetaphyseal dysplasia Strudwick type. In addition, defects in processing chondrocalcin, a calcium binding protein that is the C-propeptide of this collagen molecule, are also associated with chondrodysplasia. There are two transcripts identified for this gene. [provided by RefSeq, Jul 2008]","                                            COL2A1 (Collagen Type II Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL2A1 include Kniest Dysplasia and Spondyloepimetaphyseal Dysplasia, Strudwick Type.                                            Among its related pathways are Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway and Integrin Pathway.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and platelet-derived growth factor binding.                                            An important paralog of this gene is COL1A1.","Type II collagen is specific for cartilaginous tissues. It is essential for the normal embryonic development of the skeleton, for linear growth and for the ability of cartilage to resist compressive forces.
                         CO2A1_HUMAN,P02458
                         ","Wed Sep 09 08:38:05 2020"
"hormone","COL1A2","ENSG00000164692","This gene encodes the pro-alpha2 chain of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIB, recessive Ehlers-Danlos syndrome Classical type, idiopathic osteoporosis, and atypical Marfan syndrome. Symptoms associated with mutations in this gene, however, tend to be less severe than mutations in the gene for the alpha1 chain of type I collagen (COL1A1) reflecting the different role of alpha2 chains in matrix integrity. Three transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A2 (Collagen Type I Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A2 include Osteogenesis Imperfecta, Type Iii and Osteogenesis Imperfecta, Type Iv.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein binding, bridging.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A2_HUMAN,P08123
                         ","Wed Sep 09 08:38:07 2020"
"hormone","COL3A1","ENSG00000168542","This gene encodes the pro-alpha1 chains of type III collagen, a fibrillar collagen that is found in extensible connective tissues such as skin, lung, uterus, intestine and the vascular system, frequently in association with type I collagen. Mutations in this gene are associated with Ehlers-Danlos syndrome types IV, and with aortic and arterial aneurysms. Two transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL3A1 (Collagen Type III Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL3A1 include Ehlers-Danlos Syndrome, Vascular Type and Polymicrogyria With Or Without Vascular-Type Ehlers-Danlos Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include integrin binding and SMAD binding.                                            An important paralog of this gene is COL1A1.","Collagen type III occurs in most soft connective tissues along with type I collagen. Involved in regulation of cortical development. Is the major ligand of ADGRG1 in the developing brain and binding to ADGRG1 inhibits neuronal migration and activates the RhoA pathway by coupling ADGRG1 to GNA13 and possibly GNA12.
                         CO3A1_HUMAN,P02461
                         ","Wed Sep 09 08:38:11 2020"
"hormone","COL5A1","ENSG00000130635","This gene encodes an alpha chain for one of the low abundance fibrillar collagens. Fibrillar collagen molecules are trimers that can be composed of one or more types of alpha chains. Type V collagen is found in tissues containing type I collagen and appears to regulate the assembly of heterotypic fibers composed of both type I and type V collagen. This gene product is closely related to type XI collagen and it is possible that the collagen chains of types V and XI constitute a single collagen type with tissue-specific chain combinations. The encoded procollagen protein occurs commonly as the heterotrimer pro-alpha1(V)-pro-alpha1(V)-pro-alpha2(V). Mutations in this gene are associated with Ehlers-Danlos syndrome, types I and II. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, May 2013]","                                            COL5A1 (Collagen Type V Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL5A1 include Ehlers-Danlos Syndrome, Classic Type, 1 and Classic Ehlers-Danlos Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and extracellular matrix structural constituent.                                            An important paralog of this gene is COL11A1.","Type V collagen is a member of group I collagen (fibrillar forming collagen). It is a minor connective tissue component of nearly ubiquitous distribution. Type V collagen binds to DNA, heparan sulfate, thrombospondin, heparin, and insulin.
                         CO5A1_HUMAN,P20908
                         ","Wed Sep 09 08:38:12 2020"
"hormone","COL4A3","ENSG00000169031","Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]","                                            COL4A3 (Collagen Type IV Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A3 include Alport Syndrome 3, Autosomal Dominant and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A3_HUMAN,Q01955
                         ","Wed Sep 09 08:38:14 2020"
"hormone","COL5A2","ENSG00000204262","This gene encodes an alpha chain for one of the low abundance fibrillar collagens. Fibrillar collagen molecules are trimers that can be composed of one or more types of alpha chains. Type V collagen is found in tissues containing type I collagen and appears to regulate the assembly of heterotypic fibers composed of both type I and type V collagen. This gene product is closely related to type XI collagen and it is possible that the collagen chains of types V and XI constitute a single collagen type with tissue-specific chain combinations. Mutations in this gene are associated with Ehlers-Danlos syndrome, types I and II. [provided by RefSeq, Jul 2008]","                                            COL5A2 (Collagen Type V Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL5A2 include Ehlers-Danlos Syndrome, Classic Type, 2 and Classic Ehlers-Danlos Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and SMAD binding.                                            An important paralog of this gene is COL27A1.","Type V collagen is a member of group I collagen (fibrillar forming collagen). It is a minor connective tissue component of nearly ubiquitous distribution. Type V collagen binds to DNA, heparan sulfate, thrombospondin, heparin, and insulin. Type V collagen is a key determinant in the assembly of tissue-specific matrices (By similarity).
                         CO5A2_HUMAN,P05997
                         ","Wed Sep 09 08:38:15 2020"
