"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"transcription","TP53","ENSG00000141510","This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]","                                            TP53 (Tumor Protein P53) is a Protein Coding gene.                                            Diseases associated with TP53 include Li-Fraumeni Syndrome and Osteogenic Sarcoma.                                            Among its related pathways are Apoptosis Modulation and Signaling and Regulation of TP53 Activity through Acetylation.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and protein heterodimerization activity.                                            An important paralog of this gene is TP63.","Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 (PubMed:12524540). However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP (PubMed:12524540). In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis and seems to have an effect on cell-cycle regulation. Implicated in Notch signaling cross-over. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression. Isoform 2 enhances the transactivation activity of isoform 1 from some but not all TP53-inducible promoters. Isoform 4 suppresses transactivation activity and impairs growth suppression mediated by isoform 1. Isoform 7 inhibits isoform 1-mediated apoptosis. Regulates the circadian clock by repressing CLOCK-ARNTL/BMAL1-mediated transcriptional activation of PER2 (PubMed:24051492).
                         P53_HUMAN,P04637
                         ","Wed Sep 09 08:38:42 2020"
"transcription","CREBBP","ENSG00000005339","This gene is ubiquitously expressed and is involved in the transcriptional coactivation of many different transcription factors. First isolated as a nuclear protein that binds to cAMP-response element binding protein (CREB), this gene is now known to play critical roles in embryonic development, growth control, and homeostasis by coupling chromatin remodeling to transcription factor recognition. The protein encoded by this gene has intrinsic histone acetyltransferase activity and also acts as a scaffold to stabilize additional protein interactions with the transcription complex. This protein acetylates both histone and non-histone proteins. This protein shares regions of very high sequence similarity with protein p300 in its bromodomain, cysteine-histidine-rich regions, and histone acetyltransferase domain. Mutations in this gene cause Rubinstein-Taybi syndrome (RTS). Chromosomal translocations involving this gene have been associated with acute myeloid leukemia. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Feb 2009]","                                            CREBBP (CREB Binding Protein) is a Protein Coding gene.                                            Diseases associated with CREBBP include Rubinstein-Taybi Syndrome 1 and Menke-Hennekam Syndrome 1.                                            Among its related pathways are Organelle biogenesis and maintenance and Chromatin organization.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription factor binding.                                            An important paralog of this gene is EP300.","Acetylates histones, giving a specific tag for transcriptional activation (PubMed:24616510). Also acetylates non-histone proteins, like DDX21, FBL, IRF2, MAFG, NCOA3, POLR1E/PAF53 and FOXO1 (PubMed:10490106, PubMed:11154691, PubMed:12738767, PubMed:12929931, PubMed:9707565, PubMed:24207024, PubMed:28790157, PubMed:30540930). Binds specifically to phosphorylated CREB and enhances its transcriptional activity toward cAMP-responsive genes. Acts as a coactivator of ALX1. Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers (PubMed:14645221). Acetylates PCNA; acetylation promotes removal of chromatin-bound PCNA and its degradation during nucleotide excision repair (NER) (PubMed:24939902). Acetylates POLR1E/PAF53, leading to decreased association of RNA polymerase I with the rDNA promoter region and coding region (PubMed:24207024). Acetylates DDX21, thereby inhibiting DDX21 helicase activity (PubMed:28790157). Acetylates FBL, preventing methylation of 'Gln-105' of histone H2A (H2AQ104me) (PubMed:30540930). Functions as a transcriptional coactivator for SMAD4 in the TGF-beta signaling pathway (PubMed:25514493).
                         CBP_HUMAN,Q92793
                         ","Wed Sep 09 08:38:43 2020"
"transcription","SP1","ENSG00000185591","The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]","                                            SP1 (Sp1 Transcription Factor) is a Protein Coding gene.                                            Diseases associated with SP1 include Huntington Disease and Cytomegalovirus Infection.                                            Among its related pathways are Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer and Transcriptional misregulation in cancer.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and sequence-specific DNA binding.                                            An important paralog of this gene is SP4.","Transcription factor that can activate or repress transcription in response to physiological and pathological stimuli. Binds with high affinity to GC-rich motifs and regulates the expression of a large number of genes involved in a variety of processes such as cell growth, apoptosis, differentiation and immune responses. Highly regulated by post-translational modifications (phosphorylations, sumoylation, proteolytic cleavage, glycosylation and acetylation). Binds also the PDGFR-alpha G-box promoter. May have a role in modulating the cellular response to DNA damage. Implicated in chromatin remodeling. Plays an essential role in the regulation of FE65 gene expression. In complex with ATF7IP, maintains telomerase activity in cancer cells by inducing TERT and TERC gene expression. Isoform 3 is a stronger activator of transcription than isoform 1. Positively regulates the transcription of the core clock component ARNTL/BMAL1 (PubMed:10391891, PubMed:11371615, PubMed:11904305, PubMed:14593115, PubMed:16377629, PubMed:16478997, PubMed:16943418, PubMed:17049555, PubMed:18171990, PubMed:18199680, PubMed:18239466, PubMed:18513490, PubMed:18619531, PubMed:19193796, PubMed:20091743, PubMed:21798247, PubMed:21046154). Plays a role in the recruitment of SMARCA4/BRG1 on the c-FOS promoter. Plays a role in protecting cells against oxidative stress following brain injury by regulating the expression of RNF112 (By similarity).
                         SP1_HUMAN,P08047
                         ","Wed Sep 09 08:38:44 2020"
"transcription","EP300","ENSG00000100393","This gene encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. It functions as histone acetyltransferase that regulates transcription via chromatin remodeling and is important in the processes of cell proliferation and differentiation. It mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. This gene has also been identified as a co-activator of HIF1A (hypoxia-inducible factor 1 alpha), and thus plays a role in the stimulation of hypoxia-induced genes such as VEGF. Defects in this gene are a cause of Rubinstein-Taybi syndrome and may also play a role in epithelial cancer. [provided by RefSeq, Jul 2008]","                                            EP300 (E1A Binding Protein P300) is a Protein Coding gene.                                            Diseases associated with EP300 include Rubinstein-Taybi Syndrome 2 and Menke-Hennekam Syndrome 2.                                            Among its related pathways are Regulation of TP53 Activity through Acetylation and Nur77 Signaling in T-Cell.                                            Gene Ontology (GO) annotations related to this gene include chromatin binding and transcription coactivator activity.                                            An important paralog of this gene is CREBBP.","Functions as histone acetyltransferase and regulates transcription via chromatin remodeling (PubMed:23415232, PubMed:23934153, PubMed:8945521). Acetylates all four core histones in nucleosomes. Histone acetylation gives an epigenetic tag for transcriptional activation (PubMed:23415232, PubMed:23934153, PubMed:8945521). Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. Mediates acetylation of histone H3 at 'Lys-122' (H3K122ac), a modification that localizes at the surface of the histone octamer and stimulates transcription, possibly by promoting nucleosome instability. Mediates acetylation of histone H3 at 'Lys-27' (H3K27ac) (PubMed:23911289). Also functions as acetyltransferase for non-histone targets, such as ALX1, HDAC1, PRMT1 or SIRT2 (PubMed:12929931, PubMed:16762839, PubMed:18722353). Acetylates 'Lys-131' of ALX1 and acts as its coactivator (PubMed:12929931). Acetylates SIRT2 and is proposed to indirectly increase the transcriptional activity of TP53 through acetylation and subsequent attenuation of SIRT2 deacetylase function (PubMed:18722353). Acetylates HDAC1 leading to its inactivation and modulation of transcription (PubMed:16762839). Acetylates 'Lys-247' of EGR2 (By similarity). Acts as a TFAP2A-mediated transcriptional coactivator in presence of CITED2 (PubMed:12586840). Plays a role as a coactivator of NEUROD1-dependent transcription of the secretin and p21 genes and controls terminal differentiation of cells in the intestinal epithelium. Promotes cardiac myocyte enlargement. Can also mediate transcriptional repression. Acetylates FOXO1 and enhances its transcriptional activity (PubMed:15890677). Acetylates BCL6 wich disrupts its ability to recruit histone deacetylases and hinders its transcriptional repressor activity (PubMed:12402037). Participates in CLOCK or NPAS2-regulated rhythmic gene transcription; exhibits a circadian association with CLOCK or NPAS2, correlating with increase in PER1/2 mRNA and histone H3 acetylation on the PER1/2 promoter (PubMed:14645221). Acetylates MTA1 at 'Lys-626' which is essential for its transcriptional coactivator activity (PubMed:16617102). Acetylates XBP1 isoform 2; acetylation increases protein stability of XBP1 isoform 2 and enhances its transcriptional activity (PubMed:20955178). Acetylates PCNA; acetylation promotes removal of chromatin-bound PCNA and its degradation during nucleotide excision repair (NER) (PubMed:24939902). Acetylates MEF2D (PubMed:21030595). Acetylates and stabilizes ZBTB7B protein by antagonizing ubiquitin conjugation and degragation, this mechanism may be involved in CD4/CD8 lineage differentiation (PubMed:20810990). Acetylates GABPB1, impairing GABPB1 heterotetramerization and activity (By similarity). In addition to protein acetyltransferase, can use different acyl-CoA substrates, such as (2E)-butenoyl-CoA (crotonyl-CoA), butanoyl-CoA (butyryl-CoA), 2-hydroxyisobutanoyl-CoA (2-hydroxyisobutyryl-CoA) or propanoyl-CoA (propionyl-CoA), and is able to mediate protein crotonylation, butyrylation, 2-hydroxyisobutyrylation or propionylation, respectively (PubMed:17267393, PubMed:25818647, PubMed:29775581). Acts as a histone crotonyltransferase; crotonylation marks active promoters and enhancers and confers resistance to transcriptional repressors (PubMed:25818647). Histone crotonyltransferase activity is dependent on the concentration of (2E)-butenoyl-CoA (crotonyl-CoA) substrate and such activity is weak when (2E)-butenoyl-CoA (crotonyl-CoA) concentration is low (PubMed:25818647). Also acts as a histone butyryltransferase; butyrylation marks active promoters (PubMed:17267393). Acts as a protein-lysine 2-hydroxyisobutyryltransferase; regulates glycolysis by mediating 2-hydroxyisobutyrylation of glycolytic enzymes (PubMed:29775581). Functions as a transcriptional coactivator for SMAD4 in the TGF-beta signaling pathway (PubMed:25514493). Acetylates PCK1 and promotes PCK1 anaplerotic activity (PubMed:30193097). Acetylates RXRA and RXRG (PubMed:17761950).
                         EP300_HUMAN,Q09472
                         ","Wed Sep 09 08:38:49 2020"
"transcription","JUN","ENSG00000177606","This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies. [provided by RefSeq, Jul 2008]","                                            JUN (Jun Proto-Oncogene, AP-1 Transcription Factor Subunit) is a Protein Coding gene.                                            Diseases associated with JUN include Pertussis and Sarcoma.                                            Among its related pathways are ATM Pathway and Association Between Physico-Chemical Features and Toxicity Associated Pathways.                                            Gene Ontology (GO) annotations related to this gene include sequence-specific DNA binding.                                            An important paralog of this gene is JUND.","Transcription factor that recognizes and binds to the enhancer heptamer motif 5'-TGA[CG]TCA-3' (PubMed:10995748, PubMed:22083952). Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation (PubMed:17210646). Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells (PubMed:24623306). Binds to the USP28 promoter in colorectal cancer (CRC) cells (PubMed:24623306).
                         JUN_HUMAN,P05412
                         ","Wed Sep 09 08:38:51 2020"
"transcription","STAT3","ENSG00000168610","The protein encoded by this gene is a member of the STAT protein family. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein is activated through phosphorylation in response to various cytokines and growth factors including IFNs, EGF, IL5, IL6, HGF, LIF and BMP2. This protein mediates the expression of a variety of genes in response to cell stimuli, and thus plays a key role in many cellular processes such as cell growth and apoptosis. The small GTPase Rac1 has been shown to bind and regulate the activity of this protein. PIAS3 protein is a specific inhibitor of this protein. Mutations in this gene are associated with infantile-onset multisystem autoimmune disease and hyper-immunoglobulin E syndrome. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Sep 2015]","                                            STAT3 (Signal Transducer And Activator Of Transcription 3) is a Protein Coding gene.                                            Diseases associated with STAT3 include Hyper-Ige Recurrent Infection Syndrome 1, Autosomal Dominant and Autoimmune Disease, Multisystem, Infantile-Onset, 1.                                            Among its related pathways are Common Cytokine Receptor Gamma-Chain Family Signaling Pathways and Interleukin-11 Signaling Pathway.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and sequence-specific DNA binding.                                            An important paralog of this gene is STAT1.","Signal transducer and transcription activator that mediates cellular responses to interleukins, KITLG/SCF, LEP and other growth factors (PubMed:10688651, PubMed:12359225, PubMed:12873986, PubMed:15194700, PubMed:17344214, PubMed:18242580, PubMed:23084476, PubMed:31462771). Once activated, recruits coactivators, such as NCOA1 or MED1, to the promoter region of the target gene (PubMed:17344214). May mediate cellular responses to activated FGFR1, FGFR2, FGFR3 and FGFR4 (PubMed:12873986). Binds to the interleukin-6 (IL-6)-responsive elements identified in the promoters of various acute-phase protein genes (PubMed:12359225). Activated by IL31 through IL31RA (PubMed:15194700). Acts as a regulator of inflammatory response by regulating differentiation of naive CD4(+) T-cells into T-helper Th17 or regulatory T-cells (Treg): deacetylation and oxidation of lysine residues by LOXL3, leads to disrupt STAT3 dimerization and inhibit its transcription activity (PubMed:28065600). Involved in cell cycle regulation by inducing the expression of key genes for the progression from G1 to S phase, such as CCND1 (PubMed:17344214). Mediates the effects of LEP on melanocortin production, body energy homeostasis and lactation (By similarity). May play an apoptotic role by transctivating BIRC5 expression under LEP activation (PubMed:18242580). Cytoplasmic STAT3 represses macroautophagy by inhibiting EIF2AK2/PKR activity (PubMed:23084476). Plays a crucial role in basal beta cell functions, such as regulation of insulin secretion (By similarity).
                         STAT3_HUMAN,P40763
                         ","Wed Sep 09 08:38:54 2020"
"transcription","STAT1","ENSG00000115415","The protein encoded by this gene is a member of the STAT protein family. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein can be activated by various ligands including interferon-alpha, interferon-gamma, EGF, PDGF and IL6. This protein mediates the expression of a variety of genes, which is thought to be important for cell viability in response to different cell stimuli and pathogens. Two alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]","                                            STAT1 (Signal Transducer And Activator Of Transcription 1) is a Protein Coding gene.                                            Diseases associated with STAT1 include Immunodeficiency 31A and Immunodeficiency 31C.                                            Among its related pathways are Common Cytokine Receptor Gamma-Chain Family Signaling Pathways and Interleukin-11 Signaling Pathway.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and protein homodimerization activity.                                            An important paralog of this gene is STAT4.","Signal transducer and transcription activator that mediates cellular responses to interferons (IFNs), cytokine KITLG/SCF and other cytokines and other growth factors. Following type I IFN (IFN-alpha and IFN-beta) binding to cell surface receptors, signaling via protein kinases leads to activation of Jak kinases (TYK2 and JAK1) and to tyrosine phosphorylation of STAT1 and STAT2. The phosphorylated STATs dimerize and associate with ISGF3G/IRF-9 to form a complex termed ISGF3 transcription factor, that enters the nucleus (PubMed:28753426). ISGF3 binds to the IFN stimulated response element (ISRE) to activate the transcription of IFN-stimulated genes (ISG), which drive the cell in an antiviral state. In response to type II IFN (IFN-gamma), STAT1 is tyrosine- and serine-phosphorylated (PubMed:26479788). It then forms a homodimer termed IFN-gamma-activated factor (GAF), migrates into the nucleus and binds to the IFN gamma activated sequence (GAS) to drive the expression of the target genes, inducing a cellular antiviral state. Becomes activated in response to KITLG/SCF and KIT signaling. May mediate cellular responses to activated FGFR1, FGFR2, FGFR3 and FGFR4.
                         STAT1_HUMAN,P42224
                         ","Wed Sep 09 08:38:55 2020"
"transcription","TBP","ENSG00000112592","Initiation of transcription by RNA polymerase II requires the activities of more than 70 polypeptides. The protein that coordinates these activities is transcription factor IID (TFIID), which binds to the core promoter to position the polymerase properly, serves as the scaffold for assembly of the remainder of the transcription complex, and acts as a channel for regulatory signals. TFIID is composed of the TATA-binding protein (TBP) and a group of evolutionarily conserved proteins known as TBP-associated factors or TAFs. TAFs may participate in basal transcription, serve as coactivators, function in promoter recognition or modify general transcription factors (GTFs) to facilitate complex assembly and transcription initiation. This gene encodes TBP, the TATA-binding protein. A distinctive feature of TBP is a long string of glutamines in the N-terminus. This region of the protein modulates the DNA binding activity of the C terminus, and modulation of DNA binding affects the rate of transcription complex formation and initiation of transcription. The number of CAG repeats encoding the polyglutamine tract is usually 25-42, and expansion of the number of repeats to 45-66 increases the length of the polyglutamine string and is associated with spinocerebellar ataxia 17, a neurodegenerative disorder classified as a polyglutamine disease. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2016]","                                            TBP (TATA-Box Binding Protein) is a Protein Coding gene.                                            Diseases associated with TBP include Spinocerebellar Ataxia 17 and Parkinson Disease, Late-Onset.                                            Among its related pathways are RNA Polymerase II Transcription Initiation And Promoter Clearance and RNA Polymerase I Promoter Escape.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription factor binding.                                            An important paralog of this gene is TBPL2.","General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID (PubMed:2374612, PubMed:2363050, PubMed:2194289, PubMed:9836642, PubMed:27193682). Binding of TFIID to the TATA box is the initial transcriptional step of the pre-initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II (PubMed:2374612, PubMed:2363050, PubMed:2194289, PubMed:9836642, PubMed:27193682). Component of a BRF2-containing transcription factor complex that regulates transcription mediated by RNA polymerase III (PubMed:26638071). Component of the transcription factor SL1/TIF-IB complex, which is involved in the assembly of the PIC (pre-initiation complex) during RNA polymerase I-dependent transcription (PubMed:15970593). The rate of PIC formation probably is primarily dependent on the rate of association of SL1 with the rDNA promoter. SL1 is involved in stabilization of nucleolar transcription factor 1/UBTF on rDNA.
                         TBP_HUMAN,P20226
                         ","Wed Sep 09 08:38:56 2020"
"transcription","E2F1","ENSG00000101412","The protein encoded by this gene is a member of the E2F family of transcription factors. The E2F family plays a crucial role in the control of cell cycle and action of tumor suppressor proteins and is also a target of the transforming proteins of small DNA tumor viruses. The E2F proteins contain several evolutionally conserved domains found in most members of the family. These domains include a DNA binding domain, a dimerization domain which determines interaction with the differentiation regulated transcription factor proteins (DP), a transactivation domain enriched in acidic amino acids, and a tumor suppressor protein association domain which is embedded within the transactivation domain.  This protein and another 2 members, E2F2 and E2F3, have an additional cyclin binding domain. This protein binds preferentially to retinoblastoma protein pRB in a cell-cycle dependent manner. It can mediate both cell proliferation and p53-dependent/independent apoptosis. [provided by RefSeq, Jul 2008]","                                            E2F1 (E2F Transcription Factor 1) is a Protein Coding gene.                                            Diseases associated with E2F1 include Retinoblastoma and Glioblastoma Multiforme.                                            Among its related pathways are Regulation of activated PAK-2p34 by proteasome mediated degradation and E2F transcription factor network.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription factor binding.                                            An important paralog of this gene is E2F3.","Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase. E2F1 binds preferentially RB1 in a cell-cycle dependent manner. It can mediate both cell proliferation and TP53/p53-dependent apoptosis. Blocks adipocyte differentiation by binding to specific promoters repressing CEBPA binding to its target gene promoters (PubMed:20176812). Positively regulates transcription of RRP1B (PubMed:20040599).
                         E2F1_HUMAN,Q01094
                         ","Wed Sep 09 08:38:57 2020"
"transcription","ERCC3","ENSG00000163161","This gene encodes an ATP-dependent DNA helicase that functions in nucleotide excision repair. The encoded protein is a subunit of basal transcription factor 2 (TFIIH) and, therefore, also functions in class II transcription. Mutations in this gene are associated with Xeroderma pigmentosum B, Cockayne's syndrome, and trichothiodystrophy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            ERCC3 (ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit) is a Protein Coding gene.                                            Diseases associated with ERCC3 include Xeroderma Pigmentosum, Complementation Group B and Trichothiodystrophy 2, Photosensitive.                                            Among its related pathways are RNA Polymerase II Transcription Initiation And Promoter Clearance and Transcription-Coupled Nucleotide Excision Repair (TC-NER).                                            Gene Ontology (GO) annotations related to this gene include protein kinase activity and hydrolase activity.                                            ","ATP-dependent 3'-5' DNA helicase, component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to CAK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. The ATPase activity of XPB/ERCC3, but not its helicase activity, is required for DNA opening. In transcription, TFIIH has an essential role in transcription initiation (PubMed:8157004, PubMed:30894545). When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape (PubMed:8157004). The ATP-dependent helicase activity of XPB/ERCC3 is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module CAK controls the initiation of transcription.
                         ERCC3_HUMAN,P19447
                         ","Wed Sep 09 08:39:01 2020"
